time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-12-11T03:03:52.600Z,36.2867,-97.5049,5.785,2.9,ml,,25,,0.35,us,us20007zw0,2017-03-09T02:14:27.040Z,"19km W of Perry, Oklahoma",earthquake,1.3,7.8,,,reviewed,tul,tul
2016-12-11T02:32:21.100Z,36.5312,-98.9701,5.386,2.5,ml,,77,,0.52,us,us20007zvv,2017-03-09T02:14:27.040Z,"23km ENE of Mooreland, Oklahoma",earthquake,3.4,3.8,,,reviewed,tul,tul
2016-12-10T22:18:15.150Z,38.8213333,-122.7638333,1.64,2.58,md,63,34,0.00991,0.06,nc,nc72735540,2017-02-11T09:55:10.650Z,"3km W of Cobb, California",earthquake,0.11,0.15,0.156,50,reviewed,nc,nc
2016-12-10T21:36:56.600Z,40.2615,-124.7635,9.85,2.57,md,7,325,0.3712,0.03,nc,nc72735515,2017-02-11T09:54:37.989Z,"54km SW of Ferndale, California",earthquake,0.62,1.69,0.146,17,reviewed,nc,nc
2016-12-10T19:04:28.400Z,43.7595,-105.3232,0,3.6,ml,,51,0.997,0.56,us,us20007zua,2017-03-09T02:14:26.040Z,"Wyoming",mining explosion,5.1,2,0.057,54,reviewed,us,us
2016-12-10T18:58:20.400Z,36.5307,-98.9744,5.949,2.5,ml,,81,,0.86,us,us200080ld,2017-03-09T02:14:26.040Z,"23km ENE of Mooreland, Oklahoma",earthquake,1.1,3.3,,,reviewed,tul,tul
2016-12-10T18:38:34.900Z,36.5356,-98.9725,6.907,3.2,ml,,60,,0.55,us,us20007zu5,2017-03-09T02:14:26.040Z,"23km ENE of Mooreland, Oklahoma",earthquake,1.8,3.6,,,reviewed,tul,tul
2016-12-10T18:27:16.800Z,36.2113,-96.9814,3.695,2.6,ml,,26,,0.22,us,us20007zu3,2017-03-09T02:14:26.040Z,"12km NNE of Stillwater, Oklahoma",earthquake,0.8,2,,,reviewed,tul,tul
2016-12-10T08:07:01.400Z,36.3413,-97.9016,6.931,3.4,mwr,,39,,0.16,us,us20007zrj,2017-01-25T06:53:48.684Z,"6km SSW of Enid, Oklahoma",earthquake,1.3,4.8,,17,reviewed,tul,slm
2016-12-10T02:51:54.820Z,33.7691,-111.5645,3.26,3.2,ml,,55,1.21,0.79,us,us20007zq7,2017-03-09T02:14:25.040Z,"11km ENE of Rio Verde, Arizona",earthquake,4.4,2.5,0.041,79,reviewed,us,us
2016-12-09T22:29:56.800Z,35.462,-97.1347,6.543,2.6,ml,,53,,0.69,us,us20007znh,2017-03-09T02:14:25.040Z,"4km SE of Harrah, Oklahoma",earthquake,1,4.7,,,reviewed,tul,tul
2016-12-09T21:02:03.211Z,41.8382,-119.6638,8.8,2.6,ml,6,74.96,0.153,0.209,nn,nn00568999,2018-07-02T18:08:17.431Z,"68km SE of Lakeview, Oregon",earthquake,,3.9,0.12,4,reviewed,nn,nn
2016-12-09T20:19:28.110Z,35.4028333,-118.215,8.07,2.57,ml,46,55,0.1468,0.15,ci,ci37761192,2017-02-08T20:02:04.584Z,"32km SE of Bodfish, CA",earthquake,0.15,0.56,0.159,106,reviewed,ci,ci
